ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
ILMN_2058782	3.18e-47	7.25e-52	1.61e+01	106.6450154	5.47	IFI27
ILMN_1657871	3.66e-44	1.67e-48	1.55e+01	99.0388264	3.67	RSAD2
ILMN_1723912	5.95e-41	4.08e-45	1.49e+01	91.376254	3.57	IFI44L
ILMN_1739428	9.60e-41	8.76e-45	1.48e+01	90.6248812	1.84	IFIT2
ILMN_1760062	6.10e-40	6.96e-44	1.46e+01	88.5897071	2.58	IFI44
ILMN_2388547	1.20e-39	1.65e-43	1.45e+01	87.7443727	2.34	EPSTI1
ILMN_1805750	2.52e-39	4.03e-43	1.45e+01	86.8654298	2.24	IFITM3
ILMN_1707695	2.78e-39	5.08e-43	1.45e+01	86.6379239	2.76	IFIT1
ILMN_1701789	7.92e-38	1.63e-41	1.42e+01	83.2321902	2.48	IFIT3
ILMN_2347798	1.82e-37	4.17e-41	1.41e+01	82.3091769	2.40	IFI6
ILMN_1729749	6.55e-37	1.64e-40	1.40e+01	80.9612548	2.36	HERC5
ILMN_1835092	9.42e-37	2.58e-40	1.39e+01	80.5181681	3.21	IFI44L
ILMN_1731224	2.31e-36	6.86e-40	1.38e+01	79.5581329	1.41	PARP9
ILMN_2141482	3.84e-36	1.23e-39	-1.38e+01	78.9871081	-3.00e-01	SERPINF1
ILMN_1664543	2.40e-35	8.21e-39	1.36e+01	77.1205269	2.78	IFIT3
ILMN_1674811	6.68e-35	2.44e-38	1.35e+01	76.0509693	2.39	OASL
ILMN_1785732	1.20e-33	4.65e-37	1.33e+01	73.157458	1.80	TNFAIP6
ILMN_1745242	1.48e-33	6.07e-37	1.32e+01	72.8954582	1.85	PLSCR1
ILMN_1706502	1.22e-32	5.31e-36	1.31e+01	70.7679319	1.64	EIF2AK2
ILMN_2239754	1.51e-32	6.92e-36	1.30e+01	70.5080188	2.28	IFIT3
ILMN_1745397	1.52e-32	7.29e-36	1.30e+01	70.4558104	2.51	OAS3
ILMN_1662358	1.62e-32	8.14e-36	1.30e+01	70.3474861	1.90	MX1
ILMN_1765994	2.61e-32	1.37e-35	1.30e+01	69.8372531	1.75	ZBP1
ILMN_3243928	3.31e-32	1.81e-35	1.29e+01	69.5627729	1.53	DDX60L
ILMN_1787509	1.36e-31	7.79e-35	1.28e+01	68.1312443	1.38	HELZ2
ILMN_1785646	3.91e-31	2.32e-34	-1.27e+01	67.0593738	-5.01e-01	PMP22
ILMN_2410826	5.49e-31	3.39e-34	1.27e+01	66.6884843	2.43	OAS1
ILMN_1742618	5.49e-31	3.51e-34	1.27e+01	66.6545601	1.91	XAF1
ILMN_1691364	7.73e-31	5.11e-34	1.26e+01	66.2841733	1.04	STAT1
ILMN_1779252	2.52e-30	1.73e-33	1.25e+01	65.0906425	1.37	TRIM22
ILMN_1747903	3.19e-30	2.26e-33	-1.25e+01	64.8273697	-1.38e-01	DNAJC11
ILMN_1689734	2.61e-29	1.91e-32	1.23e+01	62.7326313	1.46	IL1RN
ILMN_1730284	4.92e-29	3.71e-32	-1.22e+01	62.0813019	-2.85e-01	DSC1
ILMN_2231928	3.46e-28	2.68e-31	1.21e+01	60.1400879	1.17	MX2
ILMN_3241446	4.29e-28	3.43e-31	1.20e+01	59.8985321	1.21	ODF3B
ILMN_2178775	8.67e-28	7.13e-31	-1.20e+01	59.1814249	-2.20e-01	ZNF585B
ILMN_1753342	2.40e-27	2.03e-30	1.19e+01	58.155413	7.41e-01	SAT1
ILMN_1751886	1.00e-26	8.69e-30	1.17e+01	56.7286823	1.05	REC8
ILMN_1662488	2.57e-26	2.28e-29	-1.16e+01	55.780805	-5.82e-02	MED23
ILMN_2209551	2.62e-26	2.40e-29	-1.16e+01	55.7337529	-1.45e-01	
ILMN_1681721	3.18e-26	2.98e-29	1.16e+01	55.5213295	1.95	OASL
ILMN_1783621	5.41e-26	5.19e-29	1.16e+01	54.9767925	2.13	CMPK2
ILMN_1758418	5.89e-26	5.78e-29	1.15e+01	54.8701354	1.12	TNFSF13B
ILMN_1762725	7.60e-26	7.64e-29	-1.15e+01	54.5974561	-9.19e-01	EIF3L
ILMN_2054019	1.02e-25	1.04e-28	1.15e+01	54.2908765	2.45	ISG15
ILMN_1731418	1.38e-25	1.44e-28	1.15e+01	53.9725321	8.35e-01	SP110
ILMN_2053527	2.23e-25	2.44e-28	1.14e+01	53.459745	1.30	PARP9
ILMN_1716815	2.23e-25	2.44e-28	1.14e+01	53.4590291	1.49	CEACAM1
ILMN_1797895	2.60e-25	2.91e-28	1.14e+01	53.2864535	1.10	FFAR2
ILMN_2139100	3.71e-25	4.24e-28	1.13e+01	52.9180869	9.90e-01	SHISA5
ILMN_1696654	4.50e-25	5.24e-28	1.13e+01	52.7096496	1.79	IFIT5
ILMN_1673352	7.28e-25	8.64e-28	1.13e+01	52.2196615	6.06e-01	IFITM2
ILMN_2044471	7.41e-25	8.97e-28	-1.13e+01	52.1829683	-1.23	NCR3
ILMN_1788118	8.76e-25	1.08e-27	-1.13e+01	52.0001226	-1.65e-01	SLC23A3
ILMN_1798181	9.55e-25	1.20e-27	1.12e+01	51.8977795	1.46	IRF7
ILMN_1812070	1.05e-24	1.35e-27	-1.12e+01	51.7831626	-1.04	ABCB1
ILMN_3253787	1.05e-24	1.36e-27	1.12e+01	51.7733362	1.49	
ILMN_1801246	1.76e-24	2.34e-27	1.12e+01	51.2447943	1.03	IFITM1
ILMN_1690807	1.78e-24	2.40e-27	-1.12e+01	51.2171394	-2.00e-01	MKL2
ILMN_1675640	3.13e-24	4.28e-27	1.11e+01	50.6507803	2.07	OAS1
ILMN_2387742	4.58e-24	6.37e-27	-1.11e+01	50.2609662	-2.25e-01	HNRNPA1L2
ILMN_1799467	5.21e-24	7.37e-27	1.11e+01	50.1183961	1.47	SAMD9L
ILMN_1695404	5.23e-24	7.53e-27	1.11e+01	50.0976431	2.01	LY6E
ILMN_1710937	5.66e-24	8.27e-27	1.10e+01	50.0056489	9.58e-01	IFI16
ILMN_1736863	6.59e-24	9.77e-27	1.10e+01	49.8417722	1.05	TMEM140
ILMN_1774874	7.02e-24	1.06e-26	1.10e+01	49.7649412	1.19	IL1RN
ILMN_1690125	7.49e-24	1.15e-26	1.10e+01	49.6865505	9.80e-01	PDLIM7
ILMN_2079655	1.49e-23	2.32e-26	-1.09e+01	48.9963531	-1.19	KLRB1
ILMN_1739640	2.77e-23	4.36e-26	-1.09e+01	48.3762317	-1.99e-01	DCHS1
ILMN_2284998	2.87e-23	4.59e-26	1.09e+01	48.3257228	1.12	SP100
ILMN_1720181	5.06e-23	8.20e-26	-1.08e+01	47.7575972	-1.29e-01	CLSTN1
ILMN_2096985	5.66e-23	9.30e-26	-1.08e+01	47.6342326	-3.33e-01	ALDH6A1
ILMN_1655611	6.96e-23	1.16e-25	-1.08e+01	47.4174643	-4.80e-01	TSHZ2
ILMN_3238814	8.46e-23	1.43e-25	1.08e+01	47.2134902	1.66	SMA4
ILMN_1801307	9.54e-23	1.63e-25	1.07e+01	47.0822195	9.84e-01	TNFSF10
ILMN_1776777	1.55e-22	2.68e-25	1.07e+01	46.5966299	7.24e-01	ADAR
ILMN_1674063	1.66e-22	2.92e-25	1.07e+01	46.5145512	1.68	OAS2
ILMN_1691731	2.42e-22	4.30e-25	1.06e+01	46.1343293	1.18	PARP14
ILMN_1686664	2.66e-22	4.79e-25	1.06e+01	46.0289607	1.48	MT2A
ILMN_2066858	3.36e-22	6.19e-25	1.06e+01	45.7777193	9.86e-01	TNFSF13B
ILMN_1797001	3.36e-22	6.22e-25	1.06e+01	45.7730105	1.31	DDX58
ILMN_1690105	5.52e-22	1.03e-24	1.06e+01	45.2751415	1.05	STAT1
ILMN_1769520	7.00e-22	1.33e-24	1.05e+01	45.0287353	9.34e-01	UBE2L6
ILMN_1699331	7.00e-22	1.34e-24	1.05e+01	45.0199389	2.14	IFIT1
ILMN_1726591	7.67e-22	1.49e-24	1.05e+01	44.9186556	1.06	CARD16
ILMN_1848843	7.67e-22	1.51e-24	1.05e+01	44.9068972	1.64	
ILMN_1745471	8.91e-22	1.77e-24	1.05e+01	44.7492845	6.86e-01	IRF9
ILMN_1736729	1.73e-21	3.48e-24	1.04e+01	44.0867305	2.04	OAS2
ILMN_3230872	1.91e-21	3.88e-24	-1.04e+01	43.9791922	-3.92e-01	
ILMN_1795181	2.30e-21	4.76e-24	1.04e+01	43.781151	1.62	DDX60
ILMN_3243248	2.30e-21	4.78e-24	-1.04e+01	43.7753731	-3.14e-01	SNORD87
ILMN_1701621	4.14e-21	8.70e-24	1.03e+01	43.189554	1.23	SCO2
ILMN_1745374	4.14e-21	8.79e-24	1.03e+01	43.1790673	1.24	IFI35
ILMN_1670305	5.39e-21	1.16e-23	1.03e+01	42.9111	2.23	SERPING1
ILMN_1767377	6.61e-21	1.43e-23	1.03e+01	42.7011358	1.43	
ILMN_1671152	8.67e-21	1.90e-23	-1.02e+01	42.4253696	-3.97e-01	
ILMN_2415144	9.37e-21	2.08e-23	1.02e+01	42.3383289	7.41e-01	SP110
ILMN_1812353	1.28e-20	2.86e-23	-1.02e+01	42.0251571	-1.84e-01	
ILMN_2109708	1.56e-20	3.53e-23	1.02e+01	41.8188857	6.82e-01	TYMP
ILMN_1664248	1.72e-20	3.93e-23	-1.02e+01	41.7137409	-1.75e-01	
ILMN_1724533	2.49e-20	5.74e-23	1.01e+01	41.3425857	8.76e-01	LY96
ILMN_3251545	2.53e-20	5.89e-23	1.01e+01	41.317404	9.09e-01	CHMP5
ILMN_1727862	2.58e-20	6.07e-23	-1.01e+01	41.2875858	-1.15e-01	
ILMN_1683678	3.48e-20	8.26e-23	1.01e+01	40.9864107	2.01	SPATS2L
ILMN_2317751	3.78e-20	9.05e-23	1.01e+01	40.8971694	9.72e-01	REC8
ILMN_1755843	3.85e-20	9.31e-23	1.01e+01	40.8693406	1.57	SLC26A8
ILMN_2390586	4.32e-20	1.06e-22	1.01e+01	40.7464309	9.66e-01	SP100
ILMN_1692133	4.83e-20	1.19e-22	-1.00e+01	40.6285636	-2.89e-01	ZNF226
ILMN_1657612	5.76e-20	1.43e-22	-1.00e+01	40.4476732	-6.81e-01	
ILMN_3236367	6.32e-20	1.59e-22	-1.00e+01	40.3469908	-9.15e-01	IFFO2
ILMN_1709333	6.87e-20	1.74e-22	1.00e+01	40.257243	1.79	OAS2
ILMN_2261882	7.29e-20	1.86e-22	-1.00e+01	40.1903597	-1.75e-01	KIAA0368
ILMN_1697088	8.19e-20	2.11e-22	-9.98	40.0674168	-2.22e-01	ARMC5
ILMN_2371724	8.82e-20	2.30e-22	9.97	39.9862896	1.34	CEACAM1
ILMN_1685109	9.03e-20	2.37e-22	-9.97	39.9549744	-2.01e-01	POLR3D
ILMN_1658080	1.10e-19	2.90e-22	-9.95	39.7570849	-6.85e-01	ZNF573
ILMN_1705241	1.24e-19	3.31e-22	9.93	39.6290651	1.03	TDRD7
ILMN_1781373	1.45e-19	3.92e-22	9.91	39.4631372	1.35	IFIH1
ILMN_1715384	1.86e-19	5.05e-22	-9.89	39.2152489	-1.93e-01	B4GAT1
ILMN_2349061	2.02e-19	5.54e-22	9.88	39.1246264	1.50	IRF7
ILMN_1802100	2.05e-19	5.65e-22	-9.87	39.1043711	-1.80e-01	ADAM28
ILMN_1724333	2.33e-19	6.53e-22	9.86	38.9635148	1.03	TOR1B
ILMN_2127842	2.33e-19	6.55e-22	9.86	38.960017	6.15e-01	HBA2
ILMN_1682227	2.37e-19	6.71e-22	-9.85	38.9368904	-1.48e-01	ZNF404
ILMN_1659077	2.37e-19	6.76e-22	-9.85	38.9295808	-1.12	CD40LG
ILMN_3292244	3.31e-19	9.51e-22	-9.82	38.5957012	-1.62e-01	
ILMN_1701869	4.21e-19	1.22e-21	-9.79	38.3517629	-2.04e-01	FBXO22
ILMN_1694398	6.59e-19	1.93e-21	-9.74	37.9043393	-7.04e-01	EIF3F
ILMN_1859584	6.59e-19	1.94e-21	9.74	37.8981664	1.26	LOC101930164
ILMN_1655497	6.67e-19	1.98e-21	-9.73	37.8782601	-7.20e-01	EIF4B
ILMN_2160718	7.35e-19	2.20e-21	-9.72	37.7766329	-1.20e-01	DNHD1
ILMN_3240838	8.11e-19	2.45e-21	-9.71	37.668933	-6.59e-01	SLC25A6
ILMN_1680437	8.11e-19	2.46e-21	-9.71	37.6645332	-7.30e-01	
ILMN_1658247	9.87e-19	3.02e-21	9.69	37.4658451	2.06	OAS1
ILMN_1751692	1.21e-18	3.74e-21	-9.66	37.2556398	-8.90e-01	ZNF17
ILMN_1732296	1.46e-18	4.52e-21	-9.64	37.071311	-1.54	ID3
ILMN_1696583	1.50e-18	4.70e-21	-9.64	37.0340422	-7.08e-02	ZNF169
ILMN_1801572	1.75e-18	5.52e-21	-9.62	36.8763598	-1.01e-01	C19orf44
ILMN_3239629	1.80e-18	5.70e-21	-9.62	36.8448974	-8.71e-01	
ILMN_3219806	2.74e-18	8.76e-21	9.57	36.4242677	6.95e-01	
ILMN_3281599	2.86e-18	9.22e-21	-9.56	36.3741744	-6.86e-01	
ILMN_1733998	3.03e-18	9.83e-21	9.55	36.3119863	1.22	
ILMN_1704972	3.13e-18	1.02e-20	9.55	36.2740051	1.09	TRIM5
ILMN_1712155	3.33e-18	1.09e-20	-9.54	36.2074868	-5.75e-01	RPL6
ILMN_2262288	3.54e-18	1.17e-20	-9.53	36.139076	-7.30e-01	EEF1G
ILMN_1806533	3.88e-18	1.29e-20	-9.52	36.0431486	-1.92e-01	PDE7B
ILMN_1780334	4.21e-18	1.41e-20	9.51	35.9576842	8.90e-01	KCNJ2
ILMN_1766054	5.22e-18	1.76e-20	9.49	35.7403713	1.04	ABCA1
ILMN_2148785	5.56e-18	1.89e-20	9.48	35.6722098	1.31	GBP1
ILMN_3263694	5.85e-18	2.00e-20	-9.47	35.6148272	-1.00	
ILMN_1797155	5.85e-18	2.02e-20	-9.47	35.6088298	-1.87e-01	C17orf75
ILMN_1654639	5.89e-18	2.04e-20	9.47	35.5958174	1.47	HERC6
ILMN_1718558	6.11e-18	2.15e-20	9.47	35.5473053	1.19	PARP12
ILMN_2052717	6.11e-18	2.15e-20	-9.47	35.5466345	-3.45e-01	GRAMD1C
ILMN_1706015	6.55e-18	2.32e-20	-9.46	35.4732376	-9.45e-01	FAM43A
ILMN_1678422	6.68e-18	2.38e-20	9.45	35.4475926	1.59	DHX58
ILMN_1694432	7.87e-18	2.82e-20	-9.43	35.2812016	-9.29e-01	CRIP2
ILMN_2319994	9.15e-18	3.30e-20	-9.42	35.127232	-7.51e-01	RPL3
ILMN_2414679	9.28e-18	3.37e-20	-9.41	35.1073574	-1.94e-01	SFI1
ILMN_1777325	9.56e-18	3.49e-20	9.41	35.072033	7.97e-01	STAT1
ILMN_3284584	1.00e-17	3.68e-20	-9.40	35.0216303	-8.94e-01	
ILMN_3211132	1.16e-17	4.30e-20	-9.39	34.8687156	-8.60e-01	
ILMN_2173975	1.25e-17	4.65e-20	9.38	34.7914268	1.82	RTP4
ILMN_2075221	1.35e-17	5.05e-20	-9.37	34.7114757	-1.90e-01	C17orf47
ILMN_1896455	1.36e-17	5.13e-20	9.37	34.6965506	1.16	
ILMN_2326509	1.39e-17	5.27e-20	9.36	34.6695204	6.54e-01	CASP1
ILMN_3239181	1.48e-17	5.66e-20	9.35	34.6003813	7.19e-01	ITPRIP
ILMN_1792689	1.65e-17	6.33e-20	9.34	34.4902199	8.06e-01	HIST1H2AC
ILMN_1677122	1.90e-17	7.33e-20	-9.32	34.3472318	-8.94e-01	FAM168B
ILMN_2185675	1.97e-17	7.66e-20	-9.32	34.3047154	-9.75e-01	FAM159A
ILMN_2079386	2.02e-17	7.89e-20	-9.32	34.2752466	-8.30e-01	RPL22
ILMN_1776723	2.25e-17	8.85e-20	9.30	34.1629974	6.89e-01	PHF11
ILMN_1659610	2.28e-17	9.01e-20	-9.30	34.1458418	-2.53e-01	
ILMN_3282436	2.28e-17	9.05e-20	-9.30	34.1416619	-7.69e-01	
ILMN_1701455	2.67e-17	1.07e-19	9.28	33.9810441	1.22	FBXO6
ILMN_2094166	2.67e-17	1.08e-19	9.28	33.9727067	8.84e-01	CHMP5
ILMN_3227811	2.67e-17	1.08e-19	-9.28	33.9652967	-1.31	
ILMN_1738992	2.67e-17	1.09e-19	9.28	33.9572955	6.41e-01	MNDA
ILMN_2386818	2.67e-17	1.09e-19	-9.28	33.9572007	-7.56e-01	URGCP
ILMN_3261278	3.37e-17	1.38e-19	-9.25	33.7268609	-1.14e-01	LINC00526
ILMN_2320964	3.55e-17	1.47e-19	9.24	33.6700815	7.12e-01	ADAR
ILMN_2370573	3.65e-17	1.52e-19	9.24	33.6369218	1.76	XAF1
ILMN_1774077	3.94e-17	1.64e-19	9.23	33.5579459	5.84e-01	GBP2
ILMN_3242900	4.06e-17	1.71e-19	9.23	33.521521	8.66e-01	HIST2H2AA4
ILMN_1735553	4.31e-17	1.82e-19	-9.22	33.4582631	-1.18e-01	MAP3K9
ILMN_3304203	4.38e-17	1.86e-19	-9.22	33.4380584	-5.04e-01	
ILMN_2124790	5.04e-17	2.15e-19	-9.20	33.295994	-2.45e-01	RRP7BP
ILMN_1813455	5.29e-17	2.27e-19	9.19	33.2419674	7.97e-01	SP110
ILMN_2404665	5.36e-17	2.31e-19	9.19	33.2253269	1.03	TRIM5
ILMN_1680937	5.40e-17	2.34e-19	9.19	33.2123191	1.04	HIST1H2BC
ILMN_1768062	5.99e-17	2.61e-19	-9.18	33.1064284	-1.21e-01	ADK
ILMN_1813703	6.21e-17	2.72e-19	-9.17	33.0653737	-2.04e-01	RALGPS2
ILMN_2249018	6.47e-17	2.85e-19	-9.17	33.0201346	-6.56e-01	LRRC26
ILMN_1670695	6.64e-17	2.94e-19	-9.16	32.9892434	-1.00	BACH2
ILMN_3283573	6.64e-17	2.96e-19	-9.16	32.9849318	-5.80e-01	
ILMN_1691053	7.57e-17	3.39e-19	-9.15	32.8520693	-1.11	
ILMN_3240740	7.76e-17	3.49e-19	-9.14	32.8229156	-6.19e-01	EIF3L
ILMN_1779512	8.39e-17	3.79e-19	-9.13	32.741368	-1.18e-01	AP4M1
ILMN_1756439	8.71e-17	3.96e-19	-9.13	32.6998158	-9.70e-01	SCRN1
ILMN_1762747	9.03e-17	4.12e-19	-9.12	32.6597366	-6.24e-01	RPL15
ILMN_3297126	9.24e-17	4.24e-19	9.12	32.6328896	8.85e-01	TYMP
ILMN_2264482	9.31e-17	4.29e-19	-9.12	32.6200842	-2.48e-01	DIDO1
ILMN_1729288	1.01e-16	4.69e-19	-9.11	32.5345658	-1.97e-01	C1QTNF6
ILMN_1788239	1.06e-16	4.93e-19	-9.10	32.4862106	-1.83e-01	AMDHD1
ILMN_1713807	1.18e-16	5.52e-19	-9.09	32.3746152	-1.10	MAN1C1
ILMN_1795933	1.33e-16	6.27e-19	-9.07	32.2497786	-9.59e-01	CHMP7
ILMN_3304130	1.47e-16	6.94e-19	-9.06	32.1512312	-7.66e-01	
ILMN_1714709	1.57e-16	7.46e-19	-9.05	32.0805827	-2.32e-01	OLFM1
ILMN_1701114	1.61e-16	7.68e-19	9.05	32.0525516	1.32	GBP1
ILMN_3280565	1.69e-16	8.11e-19	-9.04	31.9987429	-8.97e-01	
ILMN_1739847	1.69e-16	8.15e-19	-9.04	31.9945633	-5.23e-01	EIF3D
ILMN_1752285	1.72e-16	8.32e-19	-9.04	31.9743003	-6.73e-01	RPL4
ILMN_1678833	2.05e-16	9.97e-19	9.02	31.7976467	1.01	CCR1
ILMN_1775328	2.07e-16	1.01e-18	-9.02	31.7826508	-9.51e-02	MTG1
ILMN_2097259	2.08e-16	1.02e-18	-9.02	31.7726934	-2.58e-01	CYP2U1
ILMN_3236463	2.21e-16	1.09e-18	9.01	31.7113571	9.23e-01	
ILMN_1664330	2.42e-16	1.20e-18	9.00	31.6165663	1.30	CEACAM1
ILMN_1814011	2.49e-16	1.24e-18	-8.99	31.584952	-8.23e-01	
ILMN_2182348	2.74e-16	1.37e-18	-8.98	31.484862	-3.67e-01	SMC3
ILMN_3298037	2.74e-16	1.38e-18	-8.98	31.4824533	-1.12	
ILMN_2087080	2.76e-16	1.39e-18	-8.98	31.4701109	-7.55e-01	RPL5
ILMN_2143795	3.06e-16	1.55e-18	8.97	31.3652365	6.41e-01	
ILMN_3202591	3.43e-16	1.75e-18	-8.95	31.24949	-1.19	
ILMN_2113535	3.54e-16	1.81e-18	-8.95	31.213709	-9.32e-01	PCYOX1
ILMN_3236080	4.08e-16	2.10e-18	-8.93	31.0709787	-2.79e-01	FAM26E
ILMN_3274351	4.35e-16	2.24e-18	-8.92	31.006107	-4.16e-01	
ILMN_1691156	4.39e-16	2.27e-18	8.92	30.992846	1.17	MT1A
ILMN_2256359	4.58e-16	2.38e-18	-8.91	30.9461479	-6.00e-01	ZNF823
ILMN_2091454	4.73e-16	2.47e-18	8.91	30.9109601	1.18	HBM
ILMN_1775573	4.82e-16	2.53e-18	-8.91	30.8882777	-1.79e-01	DPY19L4
ILMN_3276990	5.07e-16	2.67e-18	-8.90	30.8348265	-6.77e-01	
ILMN_1702320	5.08e-16	2.69e-18	-8.90	30.8275378	-1.34e-01	JAKMIP2
ILMN_1798808	5.75e-16	3.06e-18	-8.88	30.703335	-1.22e-01	FOXH1
ILMN_1676984	6.01e-16	3.22e-18	8.88	30.6536043	9.07e-01	DDIT3
ILMN_2087060	6.01e-16	3.22e-18	-8.88	30.6516267	-5.39e-01	TOMM7
ILMN_1774602	6.31e-16	3.40e-18	-8.87	30.5993025	-6.30e-01	FBLN2
ILMN_1688672	6.31e-16	3.41e-18	-8.87	30.5956325	-3.12e-01	
ILMN_1676361	6.37e-16	3.46e-18	-8.87	30.5825653	-1.45e-01	ARHGAP22
ILMN_1657234	6.69e-16	3.65e-18	-8.86	30.5305111	-7.20e-02	CCL20
ILMN_3208056	7.18e-16	3.94e-18	-8.85	30.456881	-6.50e-01	
ILMN_1653466	7.51e-16	4.15e-18	8.85	30.4060041	1.80	HES4
ILMN_1704472	7.51e-16	4.15e-18	-8.85	30.4056274	-6.55e-01	EID2
ILMN_3201445	7.86e-16	4.36e-18	-8.84	30.3562037	-6.22e-01	
ILMN_3217172	8.45e-16	4.71e-18	-8.83	30.2818429	-6.09e-01	
ILMN_1744937	8.58e-16	4.80e-18	-8.83	30.263595	-1.79e-01	PTPRM
ILMN_1745112	9.21e-16	5.17e-18	-8.82	30.1896235	-1.21	FAM102A
ILMN_2352121	9.83e-16	5.54e-18	8.81	30.1222207	7.98e-01	NT5C3A
ILMN_1662839	9.85e-16	5.58e-18	-8.81	30.116286	-9.77e-01	PLEKHA1
ILMN_2197647	1.03e-15	5.84e-18	-8.81	30.0710407	-5.58e-02	MSX2P1
ILMN_1651715	1.10e-15	6.27e-18	-8.80	30.0014313	-1.46e-01	RNF2
ILMN_1880406	1.13e-15	6.49e-18	8.79	29.9679515	5.77e-01	PTEN
ILMN_3205162	1.17e-15	6.74e-18	-8.79	29.931495	-8.35e-01	
ILMN_3282174	1.19e-15	6.86e-18	-8.79	29.9150986	-9.48e-01	
ILMN_1694548	1.24e-15	7.20e-18	8.78	29.8677708	1.52	ANXA3
ILMN_1729287	1.29e-15	7.54e-18	-8.78	29.8227121	-1.88e-01	NMUR1
ILMN_1718977	1.33e-15	7.77e-18	8.77	29.7925184	7.20e-01	GADD45B
ILMN_1707312	1.43e-15	8.37e-18	8.76	29.7202302	9.52e-01	NFIL3
ILMN_1772387	1.58e-15	9.31e-18	8.75	29.6166833	1.25	TLR2
ILMN_1732534	1.60e-15	9.49e-18	8.75	29.5981078	7.88e-01	CHMP5
ILMN_3262025	1.61e-15	9.56e-18	-8.75	29.5902428	-5.95e-01	
ILMN_1712487	1.62e-15	9.65e-18	-8.75	29.5817759	-9.17e-01	EIF2D
ILMN_1676924	1.86e-15	1.11e-17	-8.73	29.440875	-7.82e-01	CD247
ILMN_3288783	1.90e-15	1.14e-17	-8.72	29.4159286	-3.81e-01	
ILMN_2078697	1.91e-15	1.15e-17	8.72	29.407021	8.68e-01	ALPK1
ILMN_3223126	1.91e-15	1.15e-17	8.72	29.4066261	8.60e-01	TYMP
ILMN_2318725	2.10e-15	1.28e-17	-8.71	29.3078547	-6.78e-01	EEF1B2
ILMN_1673804	2.35e-15	1.43e-17	-8.70	29.1954381	-5.00e-01	ZNF426
ILMN_2371458	2.50e-15	1.53e-17	-8.69	29.1327346	-1.54e-01	
ILMN_2144791	2.89e-15	1.77e-17	-8.67	28.9874551	-2.23e-01	GOLGA6B
ILMN_2220283	3.10e-15	1.91e-17	-8.66	28.9156264	-1.33	HNRNPA1P10
ILMN_2248970	3.38e-15	2.09e-17	8.65	28.8277426	1.60	OAS2
ILMN_2388975	3.39e-15	2.10e-17	-8.65	28.8205973	-6.69e-01	
ILMN_1772466	3.39e-15	2.11e-17	-8.65	28.8159807	-1.96e-01	SH2D3A
ILMN_1745389	3.46e-15	2.17e-17	-8.65	28.7924519	-1.43e-01	KIAA1328
ILMN_1732182	3.65e-15	2.29e-17	-8.64	28.7369659	-2.38e-01	FBXO44
ILMN_1798706	3.73e-15	2.35e-17	-8.64	28.7137082	-9.96e-01	GPR183
ILMN_1699772	3.87e-15	2.45e-17	8.63	28.6726862	7.61e-01	RRAGD
ILMN_1777260	4.15e-15	2.63e-17	-8.62	28.6012566	-1.03e-01	ATXN7L1
ILMN_1673566	4.25e-15	2.71e-17	-8.62	28.5736781	-2.19e-01	ADAMTS1
ILMN_1749244	4.72e-15	3.02e-17	8.61	28.468869	5.35e-01	LYRM1
ILMN_1865764	4.86e-15	3.12e-17	-8.60	28.4365567	-6.51e-01	ZMAT3
ILMN_1695598	5.61e-15	3.61e-17	-8.58	28.2938852	-6.68e-01	
ILMN_2408039	6.03e-15	3.90e-17	-8.57	28.2194367	-1.08	EEF1D
ILMN_1814305	6.88e-15	4.46e-17	8.56	28.0872065	8.90e-01	SAMD9
ILMN_3276861	7.05e-15	4.59e-17	-8.55	28.0596609	-5.36e-01	
ILMN_2227533	7.85e-15	5.12e-17	-8.54	27.952466	-7.35e-01	ABHD14B
ILMN_1779448	7.86e-15	5.15e-17	-8.54	27.9477885	-1.53e-01	EFHD1
ILMN_1778650	8.01e-15	5.27e-17	-8.54	27.9257005	-2.25e-01	VILL
ILMN_1807042	8.35e-15	5.51e-17	8.53	27.8813953	6.59e-01	MARCKS
ILMN_2219512	8.59e-15	5.71e-17	-8.53	27.8470212	-1.70e-01	NPHP4
ILMN_2413278	8.59e-15	5.71e-17	-8.53	27.8468313	-8.68e-01	RPL13
ILMN_3247857	8.66e-15	5.77e-17	-8.53	27.8362332	-4.02e-01	
ILMN_1747217	9.07e-15	6.07e-17	-8.52	27.7870669	-1.56e-01	C15orf41
ILMN_3248069	9.21e-15	6.20e-17	-8.52	27.766431	-5.98e-01	
ILMN_1706511	9.21e-15	6.20e-17	-8.52	27.7663872	-2.07e-01	TEF
ILMN_2326512	9.45e-15	6.39e-17	8.51	27.7377156	6.02e-01	CASP1
ILMN_3294335	9.51e-15	6.45e-17	-8.51	27.7277917	-5.80e-01	
ILMN_2168217	9.86e-15	6.71e-17	-8.51	27.6895979	-1.09	GPR183
ILMN_1813625	9.96e-15	6.80e-17	8.50	27.6766242	7.31e-01	TRIM25
ILMN_1682919	1.07e-14	7.30e-17	-8.50	27.6075679	-8.83e-01	PAFAH2
ILMN_1777168	1.09e-14	7.48e-17	-8.49	27.5831541	-1.30e-01	
ILMN_1672022	1.13e-14	7.76e-17	-8.49	27.5475492	-7.22e-01	EPHA4
ILMN_1711157	1.14e-14	7.89e-17	-8.49	27.530763	-1.63e-01	NOTCH4
